"_id","id","description","options","probability","phase","translation.HI","image","audio.HI","title"
"ObjectId(""5fc3ef49660616e15361e140"")",1,"You need to help pay for your younger brother's school fees. How much do you pay? (Other family members will pay the rest)","[{""id"":1,""description"":""Pay ₹2000"",""action"":{""expenditure"":0,""debt"":0,""current"":-2000,""events"":[]},""audio"":{""HI"":""event_1_option_1.mp3""},""translation"":{""HI"":""₹2000 भरें""}},{""id"":2,""description"":""Pay ₹5000"",""action"":{""expenditure"":0,""debt"":0,""current"":-5000,""events"":[]},""audio"":{""HI"":""event_1_option_2.mp3""},""translation"":{""HI"":""₹5000 भरें""}}]",0.6,1,"आपको अपने छोटे भाई के स्कूल की फीस भरने में मदद करनी है। आप कितने पैसे देते हैं? (परिवार के अन्य सदस्य बाकी की फीस भरेंगे)","event_1.png","event_1.mp3","You need to help pay for your younger brother's school fees. How much do you pay? (Other family members will pay the rest)"
"ObjectId(""5fc3ef49660616e15361e141"")",3,"You look for a place to stay in this new city. You have 2 options: Number 1. Rent Rs 4000 per month; shared with 2 other people; commuting will cost 20 Rs per day. Number 2. Rent Rs 2000 per month; shared with 4 other people; commuting will cost 40 Rs per day. Which option do you choose?","[{""id"":1,""description"":""Option 1"",""action"":{""expenditure"":4600,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_3_option_1.mp3""},""translation"":{""HI"":""विकल्प 1""}},{""id"":2,""description"":""Option 2"",""action"":{""expenditure"":3200,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_3_option_2.mp3""},""translation"":{""HI"":""विकल्प 2""}}]",0,1,"आप इस नए शहर में रहने के लिए जगह ढूँढ़ते हैं। आपके पास 2 विकल्प हैं | नंबर 1, हर महीने 4000 रुपये का किराया; 2 और लोगों के साथ रहना होगा; और आने-जाने का खर्च प्रतिदिन 20 रुपये होगा। नंबर 2, हर महीने 2000 रुपये का किराया; 4 और लोगों के साथ रहना होगा; और आने-जाने का खर्च प्रतिदिन 40 रुपये होगा। आप कौन सा विकल्प चुनते हैं?","event_3.png","event_3.mp3","You look for a place to stay in this new city. You have 2 options: Number 1. Rent Rs 4000 per month; shared with 2 other people; commuting will cost 20 Rs per day. Number 2. Rent Rs 2000 per month; shared with 4 other people; commuting will cost 40 Rs per day. Which option do you choose?"
"ObjectId(""5fc3ef49660616e15361e142"")",2,"You get a job offer in another city, with better pay. Do you accept the offer?","[{""id"":1,""description"":""Accept the offer"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[{""id"":3,""probability"":1}]},""audio"":{""HI"":""event_2_option_1.mp3""},""translation"":{""HI"":""हाँ""}},{""id"":2,""description"":""Refuse"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_2_option_2.mp3""},""translation"":{""HI"":""नहीं""}}]",0.7,1,"आपको बेहतर तनख़्वाह के साथ दूसरे शहर में नौकरी का प्रस्ताव मिलता है। क्या आप प्रस्ताव स्वीकार करते हैं?","event_2.png","event_2.mp3","You get a job offer in another city, with better pay. Do you accept the offer?"
"ObjectId(""5fc3ef49660616e15361e143"")",10,"A tap in your bathroom is leaky.","[{""id"":1,""description"":""Get it repaired (will cost ₹200)"",""action"":{""expenditure"":0,""debt"":0,""current"":-200,""events"":[]},""audio"":{""HI"":""event_10_option_1.mp3""},""translation"":{""HI"":""नल को ठीक करवाएं | (₹200 खर्च होंगे)""}},{""id"":2,""description"":""Ignore it"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[{""id"":15,""probability"":0.3}]},""audio"":{""HI"":""event_10_option_2.mp3""},""translation"":{""HI"":""कुछ न करें|""}}]",0.3,3,"आपके बाथरूम में एक नल टपक रहा है|","event_10.png","event_10.mp3","A tap in your bathroom is leaky."
"ObjectId(""5fc3ef49660616e15361e144"")",9,"You have had a painful backache for a while, but you need to go to work and do not have paid leave. What do you do?","[{""id"":1,""description"":""Take a painkiller and go to work"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[{""id"":14,""probability"":0.2}]},""audio"":{""HI"":""event_9_option_1.mp3""},""translation"":{""HI"":""दर्द के लिए दवा लें और काम पर जाएं|""}},{""id"":2,""description"":""Visit a doctor (will cost ₹700)"",""action"":{""expenditure"":0,""debt"":0,""current"":-700,""events"":[]},""audio"":{""HI"":""event_9_option_2.mp3""},""translation"":{""HI"":""डॉक्टर के पास जाएं| (₹700 खर्च होंगे)""}}]",0.5,3,"कुछ समय से आपकी पीठ बहुत दर्द कर रही है, लेकिन आपको काम पर जाना है, और आपके पास पेड लीव नहीं है | आप क्या करते हैं?","event_9.png","event_9.mp3","You have had a painful backache for a while, but you need to go to work and do not have paid leave. What do you do?"
"ObjectId(""5fc3ef49660616e15361e145"")",11,"Your brother is getting married. How much do you contribute towards the wedding?","[{""id"":1,""description"":""₹200000"",""action"":{""expenditure"":0,""debt"":0,""current"":-200000,""events"":[]},""audio"":{""HI"":""event_11_option_1.mp3""},""translation"":{""HI"":""₹200000""}},{""id"":2,""description"":""₹300000"",""action"":{""expenditure"":0,""debt"":0,""current"":-300000,""events"":[]},""audio"":{""HI"":""event_11_option_2.mp3""},""translation"":{""HI"":""₹300000""}}]",0.5,3,"आपके भाई की शादी तय हुई है| आप अपनी ओर से शादी पर कितना खर्च करते हैं ?","event_11.png","event_11.mp3","Your brother is getting married. How much do you contribute towards the wedding?"
"ObjectId(""5fc3ef49660616e15361e146"")",13,"Your child has been struggling at school.","[{""id"":1,""description"":""Tutor your child yourself"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_13_option_1.mp3""},""translation"":{""HI"":""अपने बच्चे को खुद पढ़ाई में मदद करें""}},{""id"":2,""description"":""Enroll them for after-class tuitions with a nearby teacher/tutor (Will cost ₹1500 per month for a year)"",""action"":{""expenditure"":1500,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_13_option_2.mp3""},""translation"":{""HI"":""ट्यूशन टीचर के पास जाएं (हर महीने ₹1500 खर्च होंगे)""}}]",0.5,3,"आपके बच्चे को पढाई में मुश्किल आ रही है","event_13.png","event_13.mp3","Your child has been struggling at school."
"ObjectId(""5fc3ef49660616e15361e147"")",12,"Your child's birthday is coming up, and they ask you for an expensive toy.","[{""id"":1,""description"":""Buy it (will cost ₹2000)"",""action"":{""expenditure"":0,""debt"":0,""current"":-2000,""events"":[]},""audio"":{""HI"":""event_12_option_1.mp3""},""translation"":{""HI"":""उसे खरीदें (₹2000 खर्च होंगे)|""}},{""id"":2,""description"":""Buy them a cheaper toy (will cost ₹500)"",""action"":{""expenditure"":0,""debt"":0,""current"":-500,""events"":[]},""audio"":{""HI"":""event_12_option_2.mp3""},""translation"":{""HI"":""कोई दूसरा खिलौना खरीदें (₹500 खर्च होंगे)|""}}]",0.4,3,"आपके बच्चे का जन्मदिन आ रहा है, और वे आपसे एक महंगा खिलौना मांगते है |","event_12.png","event_12.mp3","Your child's birthday is coming up, and they ask you for an expensive toy."
"ObjectId(""5fc3ef49660616e15361e148"")",14,"Your back gets injured badly and you have to be hospitalized.","[{""id"":1,""description"":""Oh no..."",""action"":{""expenditure"":0,""debt"":0,""current"":-150000,""events"":[]},""audio"":{""HI"":""event_14_option_1.mp3""},""translation"":{""HI"":""अरे नहीं...""}}]",0.4,4,"आपको पीठ में गहरी चोट लग जाती है और अस्पताल में एडमिट होना पड़ेगा","event_14.png","event_14.mp3","Your back gets injured badly and you have to be hospitalized."
"ObjectId(""5fc3ef49660616e15361e149"")",8,"The paint on the walls of your house is peeling off because of leakages.","[{""id"":1,""description"":""Repair the leakages and also get the walls repainted (₹8000)"",""action"":{""expenditure"":0,""debt"":0,""current"":-8000,""events"":[]},""audio"":{""HI"":""event_8_option_1.mp3""},""translation"":{""HI"":""लीकेज को ठीक करवाएं और दीवारों पर पेंट लगाएं|(₹8000 खर्च होंगे)""}},{""id"":2,""description"":""Only repair the leakages (₹500)"",""action"":{""expenditure"":0,""debt"":0,""current"":-500,""events"":[]},""audio"":{""HI"":""event_8_option_2.mp3""},""translation"":{""HI"":""सिर्फ लीकेज को ठीक करवाएं (₹500 खर्च होंगे)""}},{""id"":3,""description"":""Let it be"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[{""id"":15,""probability"":0.2}]},""audio"":{""HI"":""event_8_option_3.mp3""},""translation"":{""HI"":""कुछ न करें|""}}]",0.8,2,"लीकेज के कारण आपके घर की दीवारों पर लगा पेंट छिल रहा है।","event_8.png","event_8.mp3","The paint on the walls of your house is peeling off because of leakages."
